Date,Time,Temperature
10/17/2023,18:28:08,30.5
10/17/2023,18:42:11,30.6
10/17/2023,18:56:14,29.7
10/17/2023,19:10:17,30.1
10/17/2023,19:24:23,30.4
10/17/2023,19:38:26,30.5
10/17/2023,19:52:29,30.5
10/17/2023,20:06:33,30.5
10/17/2023,20:20:35,30.5
10/17/2023,20:34:38,30.3
10/17/2023,20:48:41,30.2
10/17/2023,21:02:44,30.2
10/17/2023,21:16:47,29.1
10/17/2023,21:30:50,29.3
10/17/2023,21:44:53,29.6
10/17/2023,21:58:55,30.3
10/17/2023,22:12:58,30.2
10/17/2023,22:27:01,30.2
10/17/2023,22:41:05,29.4
10/17/2023,22:55:08,29.8
10/17/2023,23:06:05,29.5
10/17/2023,23:22:17,29.5
10/17/2023,23:36:19,29.6
10/17/2023,23:50:22,29.2
10/18/2023,0:04:24,29.2
10/18/2023,0:18:27,29
10/18/2023,0:32:29,29.4
10/18/2023,0:46:33,29.5
10/18/2023,1:00:35,29.5
10/18/2023,1:18:10,29.3
10/18/2023,1:46:20,28.7
10/18/2023,2:00:28,29
10/18/2023,2:14:33,28.4
10/18/2023,2:28:36,29
10/18/2023,2:42:39,28.6
10/18/2023,2:56:43,28.7
10/18/2023,3:10:46,28.4
10/18/2023,3:24:49,28.7
10/18/2023,3:38:53,28.6
10/18/2023,3:52:56,28.5
10/18/2023,4:07:00,28.7
10/18/2023,4:21:03,28.5
10/18/2023,4:35:07,28.6
10/18/2023,4:49:10,28.7
10/18/2023,5:03:14,28.6
10/18/2023,5:17:17,28.6
10/18/2023,5:31:20,28.5
10/18/2023,5:45:23,28.4
10/18/2023,5:59:26,28.4
10/18/2023,6:13:30,28.4
10/18/2023,6:27:33,28.7
10/18/2023,6:41:36,28.7
10/18/2023,6:55:40,28.8
10/18/2023,7:09:43,28.9
10/18/2023,7:23:47,29.3
10/18/2023,7:37:50,29
10/18/2023,7:51:54,29
10/18/2023,8:05:57,29
10/18/2023,8:20:00,29
10/18/2023,8:34:04,28.6
10/18/2023,8:48:07,29.1
10/18/2023,9:02:11,29.1
10/18/2023,9:16:16,29
10/18/2023,9:30:19,29.1
10/18/2023,9:44:22,29
10/18/2023,9:58:26,28.9
10/18/2023,10:12:30,28.9
10/18/2023,10:26:32,29
10/18/2023,10:40:36,29
10/18/2023,10:54:40,28.9
10/18/2023,11:08:43,29
10/18/2023,11:22:47,29.1
10/18/2023,11:36:50,29.3
10/18/2023,11:50:54,29.5
10/18/2023,12:04:58,29.2
10/18/2023,12:19:01,29.8
10/18/2023,12:33:04,30.7
10/18/2023,12:47:07,30.9
10/18/2023,13:01:10,30.8
10/18/2023,13:15:13,30.6
10/18/2023,13:29:17,30.7
10/18/2023,13:43:20,30.8
10/18/2023,13:57:23,29.7
10/18/2023,14:11:26,30.3
10/18/2023,14:25:29,30.4
10/18/2023,14:39:31,30.3
10/18/2023,14:53:34,30.4
10/18/2023,15:07:39,30.5
10/18/2023,15:21:42,30.7
10/18/2023,15:35:45,30.3
10/18/2023,15:49:48,30.2
10/18/2023,16:03:51,29.5
10/18/2023,16:17:55,29.7
10/18/2023,16:31:58,29.9
10/18/2023,16:46:01,29.7
10/18/2023,17:00:04,29.6
10/18/2023,17:14:08,30.2
10/18/2023,17:28:12,30.3
10/18/2023,17:42:15,30.2
10/18/2023,17:56:18,30.2
10/18/2023,18:10:21,30
10/18/2023,18:24:24,29.3
10/18/2023,18:38:27,29.6
10/18/2023,18:52:30,29.9
10/18/2023,19:06:33,29.7
10/18/2023,19:20:36,29.6
10/18/2023,19:34:40,29.5
10/18/2023,19:48:43,29.7
10/18/2023,20:02:46,29.4
10/18/2023,20:16:49,29.8
10/18/2023,20:30:53,29.2
10/18/2023,20:44:56,29.2
10/18/2023,20:58:59,29.4
10/18/2023,21:13:02,29.8
10/18/2023,21:27:08,29.7
10/18/2023,21:41:11,29.7
10/18/2023,21:55:14,29.8
10/18/2023,22:09:17,29.1
10/18/2023,22:37:28,29.6
10/18/2023,22:51:31,28.9
10/18/2023,23:05:34,29.4
10/18/2023,23:33:43,29.4
10/18/2023,23:47:46,29.8
10/19/2023,0:01:50,30
10/19/2023,0:15:53,29.3
10/19/2023,0:29:56,28.9
10/19/2023,0:59:14,29.8
10/19/2023,1:13:17,30
10/19/2023,1:27:20,29.7
10/19/2023,1:41:23,29.4
10/19/2023,1:55:26,29.7
10/19/2023,2:09:29,29.4
10/19/2023,2:23:32,29.1
10/19/2023,2:37:35,29.1
10/19/2023,2:51:38,29.1
10/19/2023,3:05:41,28.9
10/19/2023,3:19:44,28.9
10/19/2023,3:33:47,28.8
10/19/2023,3:47:50,28.7
10/19/2023,4:01:53,28.7
10/19/2023,4:15:56,28.6
10/19/2023,4:29:59,28.4
10/19/2023,4:44:02,28.3
10/19/2023,4:58:05,28.4
10/19/2023,5:12:08,28.4
10/19/2023,5:26:11,28.5
10/19/2023,5:40:14,28.4
10/19/2023,5:54:17,28.3
